id,name,type,category,price,compare_at_price,colour,other_colours,fit,sizes,print_lines,print_font,print_glyph,print_backdrop,print_backdrop_colour,print_ink,image,description,badge,rating,reviews,audience,occasions,state,region,language,featured
BKC-1001,Bharat Ka Ch**tiya — The Original,tee,humour|typography|statement,999,1349,white,white|black,oversized,,BHARAT KA|Ch**tiya,anton,,,,,,The soft-censor brand tee. Gaali softened to habit — affectionate idiot energy on 240 GSM.,HERO DROP,4.3,85,men|women|unisex,everyday,,,,yes
BKC-1002,BKC Monogram,tee,typography,899,,black,white|black,oversized,,BKC,anton,,ring,#E7B325,,,"Three letters, one ring, zero explanation needed.",NEW,4.6,115,unisex,everyday,,,,
BKC-1003,Certified Ch**tiya,tee,humour,699,,mustard,white|black,regular,,CERTIFIED|Ch**tiya,bebas,🏅,,,,,,,3.9,15,unisex,everyday,,,,
BKC-1004,चूtiya Lockup,tee,typography|humour,949,,white,white|black,oversized,,चूtiya,rozha,,,,,,"Chu in Devanagari, tiya in Latin — cute enough that nobody flinches, clear enough that everyone gets it.",HINGLISH,4.1,67,unisex,everyday,,,,
BKC-1005,Chai Pe Charcha,tee,humour|foodie,899,1199,sand,white|black,oversized,,CHAI PE|CHARCHA,rozha,☕,,,,,,BESTSELLER,4.5,277,unisex,everyday,,,,
BKC-1006,Sab Moh Maya Hai,tee,humour|statement,899,1499,black,white|black,oversized,,SAB MOH|MAYA HAI,rozha,🌀,,,,,,,,,unisex,everyday,,,,
BKC-1007,Log Kya Kahenge,tee,humour,899,1499,chilli,white|black,oversized,,LOG KYA|KAHENGE,anton,👀,,,,,,TRENDING,4.6,370,unisex,everyday,,,,
BKC-1008,Beta Tumse Na Ho Payega,tee,humour,649,,white,white|black,regular,,BETA TUMSE|NA HO PAYEGA,bebas,,,,,,,,4.4,160,unisex,everyday,,,,
BKC-1009,Adjust Kar Lenge,tee,humour,649,1099,mint,white|black,regular,,ADJUST|KAR LENGE,grotesk,🧘,,,,,,,,,unisex,everyday,,,,
BKC-1010,Jugaad Certified,tee,humour|work,899,1299,olive,white|black,oversized,,JUGAAD|CERTIFIED,mono,🔧,,,,,,,,,unisex,everyday,,,,
BKC-1011,Do Minute Mein Aata Hoon,tee,humour,649,,powder,white|black,regular,,DO MINUTE|MEIN AATA HOON,bebas,⏰,,,,,,,3.8,82,unisex,everyday,,,,
BKC-1012,Bas Nikal Hi Raha Tha,tee,humour|travel,899,,coral,white|black,oversized,,BAS NIKAL|HI RAHA THA,marker,🛵,,,,,,,4.6,124,unisex,everyday,,,,
BKC-1013,System Hi Kharab Hai,tee,humour|statement,899,,charcoal,white|black,oversized,,SYSTEM HI|KHARAB HAI,mono,⚙️,,,,,,,,,unisex,everyday,,,,
BKC-1014,Shaadi Kab Hai,tee,humour,649,,rose,white|black,regular,,SHAADI|KAB HAI?,playfair,💍,,,,,,,4.2,16,unisex,wedding,,,,
BKC-1015,Thoda Aur Scroll,tee,humour|work,899,,lavender,white|black,oversized,,THODA AUR|SCROLL,grotesk,📱,,,,,,,3.9,176,unisex,everyday,,,,
BKC-1016,Main Toh Bas Dekhne Aaya Tha,tee,humour,899,,acid,white|black,oversized,,BAS DEKHNE|AAYA THA,bebas,🕶,,,,,,,4.6,6,unisex,everyday,,,,
BKC-1017,Ghar Pe Bata Dunga,tee,humour,649,,mustard,white|black,regular,,GHAR PE|BATA DUNGA,marker,📞,,,,,,,4.2,7,unisex,everyday,,,,
BKC-1018,Maggi Is A Meal,tee,foodie|humour,899,,mustard,white|black,oversized,,MAGGI IS|A MEAL,anton,🍜,,,,,,BESTSELLER,,,unisex,everyday,,,,
BKC-1019,Extra Chutney,tee,foodie,649,1099,bottle,white|black,regular,,EXTRA|CHUTNEY,bebas,🌶,,,,,,,,,unisex,everyday,,,,
BKC-1020,Cutting Chai Club,tee,foodie,649,799,offwhite,white|black,regular,,CUTTING CHAI|CLUB,playfair,🫖,ring,#D22B2B,,,,,4.1,165,unisex,everyday,,,,
