product,category,name,city,rating,title,body,tags,featured,date
BKC-1001,,Riya S.,Pune,5,Mum asked what it means,"Wore it to Sunday lunch. Mum asked what it means, dad laughed into his chai. The print is thick and hasn't cracked after ten washes.",print|wash|compliments,yes,2026-08-28
BKC-1001,,Arjun M.,Bengaluru,4,Heavy in the best way,"The 240 GSM is real. The oversized fit sits right on the shoulders. One star off only because I wanted it a day earlier.",fabric|fit|delivery,,2026-08-02
BKC-1001,,Kabir T.,Delhi,5,Office Friday approved,"Soft-censored enough for office Friday, loud enough for the metro. Size L is roomy, so size down if you like it closer.",fit|size|compliments,,2026-07-19
BKC-1002,,Neha P.,Mumbai,5,Quiet flex,"The monogram is subtle and the black hasn't faded. Looks far more expensive than it is.",colour|wash|print,yes,2026-08-21
BKC-1002,,Dev R.,Hyderabad,4,Clean and boxy,"Great boxy cut and the collar holds its shape. I'd love a sand colourway.",fit|fabric|colour,,2026-06-30
BKC-1005,,Ananya K.,Chennai,5,Chai ke saath,"Bought two: one for me, one for my chai-obsessed flatmate. The sand colour looks lovely in daylight.",gift|colour,yes,2026-08-11
BKC-1007,,Ishaan V.,Jaipur,5,Wore it to a sangeet,"Log kya kahenge? Log kept asking where I bought it. The red is deep and the print is crisp.",compliments|colour|print,yes,2026-09-02
BKC-1007,,Meera J.,Lucknow,4,Runs big,"Lovely tee, but the oversized fit really is oversized. I swapped M for S and the exchange was painless.",size|fit|delivery,,2026-07-08
BKC-1012,,Rohan D.,Kolkata,5,For the friend who is always leaving,"Gifted it to the friend who is always 'just leaving'. He wears it with zero irony. Perfect.",gift|compliments,,2026-08-17
BKC-2001,,Sana A.,Bengaluru,5,A shirt that gets a smile,"The Oxford cloth is crisp and the chest print is small and neat. Works with chinos for a smart-casual Friday.",fabric|print|fit,yes,2026-09-05
BKC-2003,,Vikram N.,Gurugram,4,Proper shirt quality,"Buttons are sturdy and the stitching is even. Sleeves are a touch long for me.",fabric|size,,2026-08-24
BKC-1063,,Tara G.,Indore,5,Traffic jam energy,"Every time a cow blocks my scooty I think of this tee. The print is sharp and the white stays white.",print|wash,,2026-06-12
BKC-1122,,Pooja L.,Jaipur,5,Pink City pride,"The rose shade matches the old city walls. The crop is flattering and not too short.",colour|fit,yes,2026-07-27
BKC-1123,,Lalremsiami C.,Aizawl,5,Finally,"Great to see the Northeast on a tee that isn't a cliché. The teal is gorgeous.",colour|compliments,,2026-08-09
,humour,Karan B.,Ahmedabad,4,Conversation starter,"Strangers read it out loud at the café. The fabric is thick and the print feels soft, not plasticky.",print|fabric|compliments,,2026-07-30
,humour,Aditi R.,Noida,5,Birthday gift sorted,"Bought it for my brother's birthday and he wore it the same night. Neat packaging too.",gift|delivery,,2026-06-25
,humour,Siddharth P.,Nagpur,3,Good tee, slow shipping,"Love the design and the fabric. Delivery took six days to Nagpur, inside the promised window, but I was impatient.",delivery|fabric,,2026-05-18
,regional,Harpreet K.,Amritsar,5,Sounds like home,"The Punjabi line made my nani laugh. Proper everyday slang, not the film version.",print|gift,,2026-08-14
,regional,Aparna M.,Kochi,4,Nice to see Malayalam,"The script is printed cleanly, no broken letters. I'd love more colours in the regional range.",print|colour,,2026-07-03
,shirts,Nikhil S.,Pune,5,Smart enough for work,"The print is small enough for the office and funny enough for after. Linen breathes well in humid weather.",fabric|fit,,2026-08-30
,shirts,Farah Q.,Mumbai,4,Keep an iron handy,"Beautiful shirt. Poplin creases easily, so keep an iron handy.",fabric|wash,,2026-06-19
,typography,Zoya H.,Bhopal,5,Type nerd approved,"Letter spacing and weight are properly considered. This is design, not just words on a tee.",print,,2026-08-06
,animals,Manish Y.,Varanasi,4,My nephew won't take it off,"Survived mud, paint and a monsoon puddle. Still looks new.",wash|gift,,2026-07-11
,,Shreya D.,Kolkata,5,Fits like the size guide says,"I measured a tee I own against the size guide and it matched to the centimetre. Rare.",size|fit,yes,2026-09-07
,,Aman J.,Chandigarh,5,Fast delivery,"Ordered on Monday, arrived on Thursday, with tracking updates the whole way.",delivery,,2026-08-19
,,Priya V.,Coimbatore,4,Washes well,"Five washes in: no shrinking and the print is intact. Wash it inside out like the tag says.",wash|fabric,yes,2026-08-01
,,Rahul K.,Patna,5,Gift for the whole group,"Got different tees for my college group. Everyone found their personality in the catalogue.",gift|compliments,,2026-07-22
,,Divya N.,Mysuru,4,Easy exchange,"The size was off, so I raised an exchange and the new one arrived in four days. No questions asked.",size|delivery,,2026-06-08
,,Imran S.,Srinagar,5,Warm enough for spring evenings,"The heavyweight cotton is great for cool evenings. It's my layering piece now.",fabric,,2026-05-29
,,Sneha B.,Guwahati,3,Colour is lighter than on screen,"The mint is a bit lighter than the picture. Still nice, just set your expectations.",colour,,2026-06-02
,,Varun T.,Surat,5,Quality you can feel,"The collar rib is thick, the side seams are straight and there are no loose threads.",fabric|fit,,2026-08-26
